customer_id,first_name,last_name,email,phone,country,city,acquisition_channel,registration_date
38,Brittney,Chambers,sarah06@example.org,001-283-375-0451x972,Philippines,Manningfurt,Email,2024-08-16
39,Ricky,Lopez,hlewis@example.org,+1-914-361-6018,Mongolia,Lake Jeremymouth,Social Media,2022-06-21
40,Dean,Schroeder,fhoward@example.org,+1-631-749-0577x01411,Ecuador,Tiffanymouth,Referral,2023-04-15
41,Colin,Green,fernandezgail@example.org,(646)726-1997x9798,Sri Lanka,Wolfeland,Social Media,2024-10-11
42,Jennifer,Mitchell,william99@example.com,699-760-7141x56916,Somalia,South Cindymouth,Referral,2025-03-20
43,Jonathan,Gibson,seanellison@example.com,(394)428-6761x784,Marshall Islands,Myersborough,Referral,2025-09-19
44,Caleb,Gilbert,erinjames@example.net,001-387-942-1478x042,Sudan,Port Emilyshire,Affiliate,2025-08-10
45,Julia,Melton,revans@example.net,001-249-221-4276x338,Australia,Thomasport,Social Media,2025-06-11
46,Amanda,Blake,madisonolson@example.com,424-827-5593,Cayman Islands,Burtonland,Referral,2025-06-01
47,Ariana,Dixon,heather66@example.org,433-326-1043,Bangladesh,West Vernonberg,Email,2025-02-24
48,Francisco,Zimmerman,brittanyjohnson@example.net,(822)354-4497x15136,Solomon Islands,Port Jessicatown,Direct,2022-07-16
49,Jennifer,Scott,joel55@example.com,(441)446-2694,Iran,Mcdonaldberg,Referral,2022-03-02
50,Trevor,Nelson,davissharon@example.com,+1-931-905-9827x603,French Polynesia,Jamesberg,Organic Search,2024-05-27
51,Fernando,Young,savannah56@example.net,960-633-6057x456,Gibraltar,Karenfort,Referral,2025-08-08
52,Robert,Summers,andrew43@example.com,9224786510,Swaziland,Amandashire,Affiliate,2023-05-17
53,Tina,Brown,tarajohnson@example.net,+1-522-518-1440x1440,United States Virgin Islands,Susanside,Organic Search,2025-07-16
54,Jessica,Lowe,vrosales@example.net,001-208-590-0776x15423,Guadeloupe,North Michele,Referral,2022-05-25
55,Mark,Rush,armstrongcolleen@example.net,(927)630-0127x01586,Guernsey,Tonyaburgh,Referral,2024-01-26
56,Mark,Hall,ericjones@example.org,480.305.9740x315,Anguilla,New Zachary,Affiliate,2023-05-20
57,Wayne,Vang,stonecraig@example.com,001-721-542-6817,Cape Verde,Sarahview,Paid Search,2025-10-22
58,Michael,Watson,wrandolph@example.org,867.788.5828x915,Solomon Islands,Paigeside,Direct,2025-05-23
59,Victoria,Patterson,garrettteresa@example.org,843-353-6769x148,Korea,Jerryburgh,Social Media,2025-01-20
60,Tina,Ward,heidijones@example.net,890.819.9902,Monaco,Lake Reginaldton,Referral,2022-07-02
61,John,Willis,fisherlaurie@example.org,747.763.7896x314,Congo,East Christopher,Organic Search,2025-08-23
62,Anna,Smith,tasha91@example.net,989-679-0464x77863,Liechtenstein,East Franceston,Organic Search,2024-07-24
63,James,Klein,brownscott@example.org,4602793757,Botswana,North Nicolemouth,Direct,2025-03-14
64,Steven,Gonzalez,kperez@example.com,+1-581-985-8740x69433,Greenland,North Taraberg,Email,2024-09-29
65,Michael,Cooley,frederick09@example.com,001-319-584-8005x66853,Antarctica (the territory South of 60 deg S),Murilloport,Paid Search,2024-05-02
66,Wayne,Fitzpatrick,rwest@example.net,001-513-449-1182x76384,Puerto Rico,Rebeccaport,Direct,2024-10-21
67,Christopher,Flores,operez@example.com,+1-744-684-9151,Philippines,Robertton,Referral,2022-04-03
68,Joe,Rose,ivalentine@example.com,001-463-412-8680x53195,Jersey,Lake Carlostown,Referral,2025-02-14
69,Melissa,Williams,smoyer@example.net,271.418.7194,Ethiopia,North Tammie,Social Media,2024-12-29
70,Meghan,White,jessicamcdaniel@example.com,(473)946-4375x1613,Nigeria,New Timothyhaven,Paid Search,2025-06-24
71,Stephanie,Diaz,paula05@example.org,001-317-427-8687x9169,Moldova,South Annaland,Organic Search,2022-02-15
72,Janet,Fitzgerald,jasonanthony@example.net,001-242-552-9804x3287,Latvia,Lake Brittanyton,Social Media,2022-01-21
73,Craig,Fry,tammywilson@example.org,4795189255,Tanzania,East Rodneyside,Email,2022-01-23
74,Todd,Wilson,dbrown@example.com,667-645-6295x471,Taiwan,Fritzburgh,Direct,2022-07-27
75,Kathleen,Martin,juliecohen@example.org,001-490-543-2680x0712,Korea,Lake Marieborough,Organic Search,2024-07-15
76,Ashley,Young,daniellegomez@example.net,001-835-643-3381x851,Kenya,Heiditon,Paid Search,2024-08-31
77,Joseph,Wright,salinasmolly@example.com,492-546-0226x5840,Slovenia,Fritzburgh,Referral,2025-12-21
78,Gabriel,Burke,christinemarsh@example.com,+1-506-222-0635x54137,Ethiopia,Waltersland,Affiliate,2022-06-28
79,Katie,Sanchez,michael35@example.com,512-346-0070,Belize,Ashleymouth,Organic Search,2023-06-03
80,Kyle,Lee,elizabeth08@example.net,609.750.5864x0127,Bosnia and Herzegovina,Emilyburgh,Email,2023-06-26
81,Alice,Perez,jennifer03@example.com,+1-294-249-8667,Zambia,Reneeview,Email,2023-02-13
82,Taylor,Martin,charlestravis@example.org,+1-957-680-9100x372,Poland,Scottport,Affiliate,2022-06-28
83,Michael,Davis,millerjill@example.com,410-941-9765,Sudan,South Brenda,Affiliate,2025-05-29
84,Carol,Young,shanecook@example.com,932-713-0729x029,Timor-Leste,East Travisville,Referral,2024-09-15
85,Christopher,Mcdonald,suarezsharon@example.com,+1-673-518-4333,Lao People's Democratic Republic,Perryborough,Organic Search,2022-01-23
86,William,Compton,tonipeterson@example.net,+1-222-609-9705,Serbia,Juanborough,Organic Search,2025-12-06
87,Albert,Hudson,ocarter@example.org,+1-621-499-5524x232,Montenegro,Robertfurt,Email,2022-05-15
88,Olivia,Kelley,murphymarie@example.org,001-677-325-6547,Cocos (Keeling) Islands,Yolandaton,Organic Search,2024-01-01
89,Alexander,Horton,sarabush@example.net,773.758.2264x9105,Chad,North Danabury,Referral,2024-10-09
90,Michelle,Ferrell,sheri68@example.com,974-204-6331,Bolivia,Clarkton,Organic Search,2023-04-28
91,Kimberly,Wright,tamara94@example.org,(820)902-9996,Russian Federation,Lake Mary,Paid Search,2023-01-26
92,Corey,Jackson,jacksonbrian@example.com,426-902-5030,Madagascar,South Georgeside,Paid Search,2024-04-02
93,Angela,Bennett,yroberts@example.com,931-994-6200x39278,Norway,Staffordfurt,Paid Search,2025-08-23
94,Katherine,Burch,sanchezbarbara@example.org,+1-685-860-8610x114,Vietnam,Alexandrialand,Email,2024-01-14
95,Caroline,Perkins,rsmith@example.com,001-386-879-7924x891,Guinea-Bissau,Pamelaland,Email,2023-02-05
96,Alyssa,Lopez,floresmarc@example.org,+1-885-622-8389,Costa Rica,Dominguezfort,Organic Search,2024-06-21
97,Jacqueline,Mendez,christopher64@example.org,5153365208,Somalia,East Michael,Referral,2025-08-08
98,Steve,Marsh,johnsonchristine@example.com,797-805-0021x2211,Saudi Arabia,West Allisonshire,Social Media,2024-12-19
99,Jeffrey,Horne,mreeves@example.com,001-525-341-1704x301,Pakistan,Berryburgh,Referral,2023-11-07
100,Amber,Hunt,castroamanda@example.net,+1-940-276-7240,Syrian Arab Republic,Jennaton,Organic Search,2023-02-01
101,John,Anderson,dsutton@example.com,927-976-8507,Poland,Steventown,Email,2025-12-20
102,Christine,Hebert,pturner@example.com,580.285.1051,American Samoa,Kyliechester,Email,2024-12-22
103,Michelle,Brewer,lcarter@example.com,001-742-669-5310x39541,Bahrain,West Gregory,Social Media,2024-12-08
104,Sarah,Martin,diana22@example.org,001-648-990-7508x9481,Czech Republic,Lake Victormouth,Email,2022-02-08
105,Michael,Olson,stephenyates@example.org,499-666-5050x53686,Spain,Greenville,Direct,2023-11-29
106,Katelyn,Lewis,samuel02@example.net,001-743-695-7277x99897,Indonesia,Smithburgh,Paid Search,2025-02-06
107,Kathleen,Summers,loripatterson@example.org,(600)825-3103x56445,Timor-Leste,West Philipfort,Paid Search,2022-02-16
108,Leslie,Reyes,loganmichael@example.net,001-361-754-4546x710,Costa Rica,Michelleberg,Social Media,2023-10-09
109,Mitchell,Duarte,christopher91@example.org,888.393.7628,Tonga,Fishermouth,Email,2025-01-27
110,Marco,Bean,annahayes@example.org,001-336-358-3137,Monaco,Monicaland,Email,2023-09-03
111,Timothy,Weber,blackabigail@example.com,772.423.1465,Papua New Guinea,East Michelebury,Paid Search,2022-04-19
112,David,Lambert,elewis@example.net,4296603063,Algeria,Williamton,Paid Search,2023-08-06
113,Sandra,Miller,laurarodriguez@example.org,531.905.8775x766,Benin,East Michaelburgh,Organic Search,2024-06-20
114,Howard,Patterson,phillipstimothy@example.net,001-367-813-4684x1878,Martinique,Rhondaton,Affiliate,2023-11-05
115,Joseph,Campos,johnsonsue@example.com,879.218.8103,Reunion,Kingburgh,Affiliate,2025-02-10
116,Morgan,Martinez,garywalker@example.net,001-548-835-0279x77355,Central African Republic,North Anthonybury,Social Media,2023-11-15
117,Crystal,Bailey,daniel58@example.com,201-779-1744,Austria,Billytown,Paid Search,2022-05-15
118,Henry,Ellis,folson@example.org,392.310.6996x7592,Latvia,New Melissaland,Paid Search,2024-12-26
119,Nicholas,Shelton,kevin65@example.com,+1-651-561-5517,Malta,East Deborah,Direct,2024-09-09
120,Erica,Heath,kbrady@example.com,(348)440-6889x87084,Dominica,Port Jennifermouth,Affiliate,2025-01-23
121,Lindsey,Rios,kevin47@example.org,211.605.4135x126,Gabon,East Mariamouth,Referral,2022-07-12
122,Craig,Edwards,oglass@example.org,+1-311-666-7941x75673,New Zealand,North Mitchell,Paid Search,2025-07-25
123,Ronnie,Mckenzie,andrewsstephen@example.net,941-572-1312,Iceland,Crystalmouth,Email,2022-07-04
124,Stephanie,Bryant,greenemichelle@example.net,829.297.0874x288,Thailand,East John,Paid Search,2024-06-16
125,Patrick,Baker,kathryn65@example.net,+1-256-706-6731,Argentina,Richardville,Email,2022-12-04
126,Michael,Hernandez,stacy65@example.org,001-863-621-8610x82458,Poland,Jaybury,Direct,2022-03-21
127,Vincent,Chavez,garciajared@example.net,504-630-8857,Israel,Johnsonborough,Direct,2024-05-27
128,Robert,Hall,sheppardjesse@example.com,409-668-7048,Maldives,Milesmouth,Email,2024-11-23
129,Scott,Gallegos,brownallison@example.net,853.210.0604,Paraguay,Port Robertfurt,Organic Search,2022-12-26
130,Mike,Cook,jenniferflowers@example.net,001-429-463-4649x73070,North Macedonia,Robertstad,Social Media,2024-03-12
131,Eric,Kelly,garciaashley@example.net,(747)687-3442,Guinea,Vasquezton,Organic Search,2025-12-07
132,Vanessa,Becker,xsmith@example.com,924-585-3513x6040,Montenegro,Herringshire,Social Media,2024-06-05
133,Jordan,White,angela73@example.org,+1-887-604-8294x294,Liechtenstein,South Amy,Organic Search,2022-03-21
134,Nicholas,Frazier,keynicholas@example.org,(901)336-2670x76963,Kuwait,Williamsville,Email,2023-12-13
135,Howard,Stewart,kelly64@example.net,393.912.1895x794,Slovenia,North Nicholashaven,Direct,2023-11-10
136,Penny,Young,danielle60@example.org,001-305-204-3947x347,Australia,Lake Judystad,Direct,2024-08-01
137,Spencer,Casey,tommy24@example.com,001-285-272-5951,Russian Federation,Smithchester,Social Media,2025-03-09
138,Jacob,Munoz,luke76@example.org,(449)999-8788x52627,Mali,East Vanessahaven,Direct,2022-06-01
139,John,Villa,fbrewer@example.org,665.453.4610x1866,South Georgia and the South Sandwich Islands,Port Kimberly,Referral,2025-02-23
140,Anthony,Harrison,moorebrian@example.org,+1-934-712-7040x9455,Mauritius,Hansenside,Social Media,2023-01-29
141,Ashley,Henderson,jonesthomas@example.net,329-745-5185x9731,Haiti,Lake Tara,Direct,2023-12-25
142,Katherine,Cruz,cwilson@example.net,+1-340-300-3619x83015,Marshall Islands,New Larryview,Paid Search,2023-04-24
143,James,Nolan,ksosa@example.net,875.672.3292x73831,Belarus,East Angela,Paid Search,2022-03-31
144,Aaron,Alvarez,lori37@example.net,4356012579,Palestinian Territory,Evanland,Email,2024-11-15
145,Jeffrey,Barnes,sarataylor@example.com,001-697-957-5788x13044,Ethiopia,New Crystalberg,Social Media,2022-04-28
146,Monique,Bailey,stevenspatrick@example.net,(774)759-9246x7091,Cuba,Walkerchester,Organic Search,2022-09-02
147,Toni,Hansen,oconnormichael@example.org,(989)884-9603x2851,United Kingdom,Hernandezhaven,Referral,2025-03-20
148,Sarah,Phillips,fmurray@example.net,(204)980-7327,Tuvalu,Lake Amyport,Social Media,2023-02-22
149,Tom,Matthews,michelle92@example.net,(574)330-8473,El Salvador,Flynnbury,Organic Search,2023-06-01
150,Denise,Mcintyre,ashley45@example.com,(399)985-0655x011,Barbados,Brianmouth,Email,2022-05-31
151,James,Abbott,patricianichols@example.com,001-370-223-7437,Norfolk Island,New Jenniferton,Organic Search,2024-07-16
152,Brittany,Roy,alexandermccarthy@example.com,633.577.4196x674,Singapore,Autumntown,Paid Search,2025-01-03
153,Mary,Wade,qflores@example.org,519-544-5576,Nepal,Lake Jeffreyville,Referral,2022-03-09
154,Sandra,Ramos,antonio31@example.com,+1-730-294-7798x149,Thailand,Kennethfort,Social Media,2025-05-08
155,Julie,Mullins,robertwolfe@example.com,001-905-805-2292,Serbia,West Molly,Social Media,2025-04-12
156,Matthew,Tran,nrichardson@example.net,281-446-1068,Sweden,Victorburgh,Direct,2024-08-10
157,Veronica,Graham,jessicalewis@example.com,+1-498-672-5565x7151,Kiribati,South Kristin,Organic Search,2022-03-23
158,Daniel,Graham,xwilliams@example.org,(384)936-8007x0574,Panama,Woodardview,Organic Search,2022-10-15
159,Andrea,Savage,jenniferherman@example.net,8923573275,France,Nicholasport,Social Media,2024-10-11
160,Chris,Mitchell,rfoster@example.org,(912)381-5151x51684,Cape Verde,Alisonville,Social Media,2025-06-09
161,Shelly,Warner,hardymelissa@example.org,001-605-674-7195x805,Antigua and Barbuda,North Ashley,Email,2024-05-11
162,Dave,White,michaelgonzalez@example.com,(675)418-2243,Andorra,South Samuelmouth,Referral,2022-11-09
163,April,Lozano,tadams@example.com,+1-462-872-3151,Togo,Port Isabel,Social Media,2025-09-14
164,Richard,Rodriguez,jamesadams@example.net,+1-225-398-6193x8093,Zimbabwe,Austinhaven,Organic Search,2022-03-24
165,Thomas,Buckley,lindsey13@example.com,308.843.4107x40532,Western Sahara,North Carla,Affiliate,2025-04-16
166,Bryan,Cook,psanchez@example.net,+1-211-897-3028x96681,Saint Lucia,North Richardfort,Direct,2024-04-24
167,Victoria,May,davidhuff@example.net,665.749.7334x880,Maldives,Williamsstad,Direct,2022-05-10
168,Danny,Levy,jacksonbrian@example.net,(542)620-1393,Belgium,New Mary,Organic Search,2024-11-05
169,Rhonda,Douglas,ystewart@example.com,+1-206-735-8910x52983,Yemen,Port Jenniferport,Referral,2022-12-11
170,Jennifer,Christensen,moodydeborah@example.net,237-972-9946x8871,Saint Martin,Josephtown,Paid Search,2025-02-26
171,Marcia,Brown,christopher52@example.org,747.717.4189,Romania,Hilltown,Organic Search,2022-09-19
172,James,Smith,byrdemily@example.org,+1-984-965-0067x28364,Finland,Lake Lisa,Referral,2022-02-23
173,Emily,Moreno,xoconnor@example.com,+1-327-713-5950x4670,Bulgaria,West Frankstad,Referral,2025-04-29
174,Nicole,Meadows,oshah@example.net,5428362694,Solomon Islands,East Sherrystad,Social Media,2024-01-19
175,Rebecca,Ford,whall@example.org,+1-204-944-4007x7089,Holy See (Vatican City State),Keithville,Social Media,2024-02-07
176,John,Cabrera,illoyd@example.net,001-527-582-6371x01618,Marshall Islands,North Colinfort,Organic Search,2022-12-05
177,Johnny,Benson,uward@example.com,+1-449-800-6967x946,Saint Martin,Hufffort,Affiliate,2024-05-14
178,Adam,Caldwell,sara85@example.org,(921)774-7713,Cocos (Keeling) Islands,East Paul,Direct,2024-02-14
179,Elizabeth,Kent,torresshannon@example.net,001-544-291-5491,Kazakhstan,Maldonadochester,Social Media,2022-10-08
180,Rachel,Roman,mathewseric@example.net,+1-314-390-7546x48822,Ghana,Port Anthony,Organic Search,2023-08-16
181,Kelly,Sanchez,saundersbenjamin@example.net,5328234823,Morocco,West Alexis,Email,2024-05-21
182,Zachary,Vargas,hlarson@example.org,001-622-387-7089x43149,Uruguay,West Darlene,Direct,2024-02-15
183,Patricia,Rojas,ojohnson@example.org,001-386-769-1649x659,Lesotho,Ginaview,Referral,2025-10-23
184,Nathan,Smith,zachary20@example.com,307-767-9644x8465,Iceland,North Patricia,Direct,2024-02-24
185,Benjamin,Burns,millerdonald@example.net,(396)724-0381x748,Congo,Jacksonmouth,Social Media,2025-05-07
186,Gerald,Gonzalez,gonzalezkristen@example.org,001-950-335-2009,Saint Helena,East Michael,Paid Search,2023-05-29
187,Michele,Rodriguez,millerelizabeth@example.org,(758)971-4569,Barbados,Lancemouth,Paid Search,2025-02-24
188,Samantha,Carlson,xweaver@example.org,(331)424-7220,Iceland,West Victorton,Organic Search,2025-12-08
189,James,Wright,caseysmith@example.net,001-813-216-6382x803,Tokelau,Erintown,Affiliate,2025-07-05
190,Nicole,Perez,sarahharrison@example.com,462-311-7289x948,Tajikistan,Lake Amanda,Direct,2025-05-08
191,Karen,Morgan,jacqueline63@example.com,+1-919-747-2156x25120,United States Virgin Islands,Annestad,Social Media,2024-01-04
192,Stephanie,Frederick,ramirezangelica@example.org,541.644.8188x650,Senegal,East Melissabury,Paid Search,2023-01-06
193,Anthony,Williams,johnsonjulian@example.com,344-355-5569x7630,San Marino,Hudsonton,Affiliate,2024-09-03
194,Susan,Bray,smithtodd@example.net,(598)550-8209,Lebanon,West Joseberg,Referral,2024-12-01
195,Amanda,James,thompsonrobert@example.net,(241)370-8475,Saint Helena,Josephshire,Organic Search,2024-02-16
196,Latasha,Barron,bryantjacob@example.net,442-476-3780,Cook Islands,Kevinhaven,Paid Search,2025-11-30
197,Lisa,Clark,melissa96@example.org,(854)369-4830x75995,Tuvalu,West Michael,Paid Search,2023-09-04
198,Kenneth,Rice,santanasamantha@example.net,649-274-7513,Yemen,East Jeffreyburgh,Direct,2025-07-28
199,Noah,Curtis,tstevens@example.org,+1-771-534-2255x786,Syrian Arab Republic,East Samantha,Referral,2024-04-10
200,Jennifer,King,tswanson@example.net,(230)656-2065,Estonia,Port Benjaminland,Paid Search,2025-03-30
201,Joel,Rivera,robertspears@example.com,001-484-350-8652x923,Venezuela,North Carlport,Organic Search,2025-12-22
202,Peggy,Lucero,mistyjohnson@example.net,+1-763-691-4657x0453,Qatar,West Danielfurt,Affiliate,2024-11-30
203,Angela,Freeman,xcolon@example.net,001-552-466-3804x5616,Syrian Arab Republic,Randallfort,Affiliate,2023-06-23
204,Robert,Gregory,christopher10@example.com,(770)590-8811x70920,Spain,North Christopherland,Social Media,2022-01-21
205,Paul,Berry,heather05@example.org,780.231.3734,Saint Lucia,Julieside,Organic Search,2024-08-18
206,Bridget,Evans,huntdeborah@example.org,664-699-6485x1889,Nauru,New Melissaside,Paid Search,2023-02-17
207,Cynthia,Jones,robertjohnson@example.org,+1-933-737-2630x13562,Christmas Island,Richardmouth,Social Media,2023-01-30
208,James,Vega,jorge83@example.org,+1-401-329-0173x747,Lao People's Democratic Republic,Karlfort,Affiliate,2025-11-14
209,Lisa,Wilson,eileen72@example.com,001-827-582-3542,Pakistan,Smithland,Organic Search,2022-09-21
210,Donna,Wolf,raymonddonald@example.org,(451)852-6118x1588,United Arab Emirates,Lake Jason,Referral,2024-10-31
211,Christopher,Jackson,sperry@example.com,001-993-269-0404x19499,Mozambique,Gloriahaven,Direct,2024-07-27
212,Lori,Simmons,dknight@example.org,6975215930,France,Cynthiamouth,Affiliate,2022-08-12
213,Thomas,Lee,deanna36@example.org,539-739-3332x92426,Bouvet Island (Bouvetoya),Baileyland,Affiliate,2023-09-19
214,John,Keith,patricia61@example.com,462.489.4923,French Polynesia,Robertside,Direct,2024-06-08
215,Steven,Serrano,scott61@example.net,906-798-6387,Czech Republic,Lake Katrina,Affiliate,2025-10-26
216,Luis,Sullivan,alexismarshall@example.com,860-476-4841x465,British Indian Ocean Territory (Chagos Archipelago),Lake Vanessachester,Social Media,2023-11-18
217,Michelle,Oliver,francesmoore@example.net,(935)563-8958,Palau,West Saraport,Social Media,2025-06-03
218,Bryan,Brady,austin28@example.net,265-731-1150x47985,Cocos (Keeling) Islands,Taylorfurt,Email,2022-04-25
219,Brandon,Wheeler,davidhuff@example.com,001-893-707-0665x84895,Paraguay,Port Mason,Direct,2023-09-19
220,Rachel,Blake,nicholascline@example.org,001-429-478-9600,Guatemala,North Karenchester,Organic Search,2023-03-16
221,Kimberly,Kent,johnsonmatthew@example.org,001-653-833-7935,China,Jessicashire,Email,2025-09-11
222,Jennifer,Hale,matthewrodriguez@example.net,2739527627,Azerbaijan,Jodyside,Affiliate,2022-10-22
223,Gina,Flowers,padillabrian@example.org,001-274-555-9224,Norfolk Island,Lake Philliptown,Organic Search,2023-12-16
224,Sherry,Taylor,james75@example.net,715.646.3505,Norway,Davisstad,Affiliate,2025-09-08
225,Bradley,Webster,jeffrey49@example.com,(203)612-1536,Azerbaijan,New Robert,Organic Search,2025-01-21
226,Rebecca,Henry,hammondjustin@example.com,758-750-0024x3836,United States Minor Outlying Islands,Thomasside,Email,2025-08-05
227,Kyle,Adams,sanchezdebbie@example.net,290-700-4210x8165,Morocco,New Seanland,Email,2023-02-10
228,Ronald,Berg,kgibson@example.org,001-336-984-7156,Australia,West Jessicachester,Social Media,2024-06-12
229,Kelly,Beard,davidkennedy@example.com,(501)378-8973,Kazakhstan,Lake Phillip,Organic Search,2022-09-16
230,Ellen,Bentley,isabeljohnson@example.net,908-243-0284x745,Sudan,Romeroberg,Referral,2024-04-05
231,Lisa,Martin,colemanbrittany@example.com,596.753.3344,Gambia,North Meganborough,Organic Search,2023-02-20
232,Theresa,Jackson,paigemoore@example.net,(727)604-3842,Vietnam,West Jenniferside,Direct,2023-01-26
233,Jessica,Marshall,brownangel@example.org,(683)504-7610x39718,Saint Lucia,Sullivanfort,Referral,2023-06-20
234,Madison,Pierce,kimberlyfrederick@example.net,876-428-9332x90667,Gibraltar,Andreachester,Paid Search,2023-07-22
235,Amber,Erickson,melissacooley@example.com,+1-342-915-5437x7672,Afghanistan,New Debraberg,Organic Search,2024-11-11
236,Angela,Brown,cruzgary@example.org,(270)235-9993x155,Turkmenistan,South Brianna,Paid Search,2023-07-14
237,Nicole,Mcguire,qdavis@example.org,871-346-2620x0484,Grenada,Joanmouth,Social Media,2025-08-08
238,Andrea,Davis,bjames@example.com,(515)855-6500x7774,Serbia,North Katie,Referral,2025-12-25
239,Randall,Riley,collinsmelissa@example.net,444.559.5798x6294,Chile,Christinachester,Paid Search,2025-05-17
240,Sergio,Lyons,ageorge@example.com,518.950.8647x7558,Indonesia,East Kayla,Direct,2025-10-07
241,Sarah,Jones,nancyrodriguez@example.com,+1-371-731-9329x57016,Cayman Islands,North Jasmine,Paid Search,2023-10-16
242,Allison,Stone,julian35@example.org,001-350-343-9104,Maldives,East Justinhaven,Direct,2023-01-30
243,Sue,Bryant,thompsonbrian@example.org,001-241-962-0353x10863,Azerbaijan,West Deborah,Affiliate,2025-01-31
244,Randy,Lara,rmoreno@example.org,808-321-1721x1485,Estonia,Bowenfort,Paid Search,2022-07-31
245,Willie,Stokes,dakotapeters@example.net,369-233-0352x0290,Guatemala,Elizabethfort,Organic Search,2022-01-24
246,Lauren,Jordan,laurie30@example.org,410.725.8474,Ukraine,South Christine,Referral,2022-02-10
247,Theresa,Anderson,iwilson@example.net,(258)742-7767x87627,Swaziland,West Kevinland,Referral,2023-12-11
