order_id,customer_id,order_status,shipping_address,shipping_city,shipping_country,order_date,shipped_date,delivered_date
60,250,delivered,9022 Garza Mews Suite 869,Laurieton,Gambia,2024-08-18,2024-08-21,2024-08-23
61,446,delivered,31147 Grant Pines,Hurleyborough,Lesotho,2025-12-06,2025-12-09,2025-12-16
62,84,pending,1987 Higgins Walks,North Jerome,Bouvet Island (Bouvetoya),2025-03-07,,
63,104,delivered,079 Rebecca Fords,Johnborough,Guinea,2025-10-16,2025-10-17,2025-10-24
64,241,shipped,897 Nicole Pines,West Jonathan,Korea,2025-12-10,2025-12-11,
65,38,delivered,4551 Chase Crossroad,Susanstad,Chad,2025-12-19,2025-12-24,2025-12-25
66,318,delivered,40170 Holmes Extension Suite 404,Shaneview,Namibia,2025-08-31,2025-09-02,2025-09-06
67,270,confirmed,83524 Norris Ports Apt. 682,Isaiahmouth,Peru,2024-12-13,,
68,122,delivered,58161 Elizabeth Flats Apt. 016,North James,Isle of Man,2025-12-05,2025-12-07,2025-12-13
69,482,shipped,22552 Jerry Row Apt. 120,Kiddland,Switzerland,2025-12-06,2025-12-10,
70,198,shipped,947 April Green Suite 549,Jessicaton,El Salvador,2025-08-01,2025-08-06,
71,149,delivered,292 Warner Passage Apt. 865,East Adam,Christmas Island,2024-04-10,2024-04-11,2024-04-17
72,176,delivered,22791 Rivera Roads,South Lisashire,Swaziland,2025-12-12,2025-12-17,2025-12-18
73,32,delivered,068 Ronald Field Apt. 179,Hallstad,Cambodia,2024-10-28,2024-10-30,2024-11-06
74,314,shipped,328 Pamela Villages,Johnberg,Tajikistan,2025-10-30,2025-11-02,
75,178,delivered,547 John Unions,Port Steven,Northern Mariana Islands,2024-02-23,2024-02-25,2024-02-29
76,117,pending,67171 Garcia Bridge,Sanchezside,Gambia,2022-06-13,,
77,311,delivered,2990 Rogers Keys,Meyerchester,Bermuda,2025-04-13,2025-04-14,2025-04-20
78,472,delivered,28048 Ferguson Junctions Apt. 867,Mitchellfurt,Northern Mariana Islands,2025-11-06,2025-11-10,2025-11-13
79,357,shipped,55508 Henry Camp,North Kevin,United Kingdom,2023-10-26,2023-10-30,
80,257,shipped,006 Alan Loaf,Thomasborough,Malaysia,2025-10-17,2025-10-20,
81,127,confirmed,791 Jennifer Cliffs,Taraberg,Burkina Faso,2024-11-12,,
82,259,delivered,1303 Austin Plain Apt. 869,North Johnview,French Southern Territories,2025-10-31,2025-11-03,2025-11-08
83,430,confirmed,0023 Lucas Freeway,East Johntown,Bangladesh,2024-03-20,,
84,127,pending,1057 Knox Stravenue,Waltermouth,Jersey,2025-12-01,,
85,413,shipped,7382 Joseph Road Suite 703,Deanmouth,French Polynesia,2025-03-26,2025-03-29,
86,205,delivered,469 Elizabeth Lake Apt. 451,Lake Lisa,Palestinian Territory,2024-12-31,2025-01-03,2025-01-10
87,155,delivered,657 Jones Coves Suite 466,Rogersborough,Heard Island and McDonald Islands,2025-11-22,2025-11-25,2025-11-29
88,299,delivered,422 Eric Pike,Lake Heidiland,Oman,2024-02-21,2024-02-24,2024-02-26
89,230,cancelled,665 Parker Tunnel,Robertoland,Lao People's Democratic Republic,2025-04-09,,
90,52,pending,5245 David Oval Suite 944,Port Amy,Guadeloupe,2024-05-14,,
91,280,delivered,74022 Brown Lock,Sheltonmouth,British Virgin Islands,2025-03-13,2025-03-18,2025-03-20
92,41,delivered,0594 Carrie Mount Suite 965,North Brianhaven,New Zealand,2025-04-11,2025-04-16,2025-04-19
93,391,delivered,4538 Gregory Center Apt. 843,North Lisaside,Finland,2025-02-08,2025-02-09,2025-02-16
94,92,confirmed,55668 Gregory Parkway,Lake Robert,Saint Barthelemy,2025-08-14,,
95,147,shipped,90013 Hannah Station,New Desireeberg,Taiwan,2025-04-14,2025-04-15,
96,223,returned,79734 Elizabeth Burg Apt. 434,Jordanmouth,Haiti,2024-04-02,2024-04-06,2024-04-13
97,58,delivered,803 Flores Tunnel,Port Shawna,Jamaica,2025-07-19,2025-07-20,2025-07-21
98,417,cancelled,104 Elizabeth Loaf,East Miranda,Kenya,2024-10-10,,
99,492,delivered,4868 Stewart Villages,Lewiston,Nigeria,2025-05-31,2025-06-04,2025-06-08
100,70,cancelled,20772 Jessica Springs,South Paulchester,Qatar,2025-10-18,,
101,19,delivered,6591 James Manors,Charlesburgh,Bahrain,2024-04-24,2024-04-26,2024-04-30
102,144,delivered,91295 Steve Fork Apt. 313,Lake Jennifer,Algeria,2025-02-02,2025-02-05,2025-02-11
103,38,delivered,39709 Hernandez Lake Suite 266,Coreyville,Chad,2025-03-23,2025-03-27,2025-03-30
104,168,delivered,97065 Williams Burg Apt. 542,New Andrea,Mayotte,2025-05-11,2025-05-14,2025-05-15
105,363,delivered,246 Linda Key,New Julieside,Benin,2025-12-27,2025-12-29,2026-01-01
106,489,cancelled,2500 Case Cliff Apt. 599,Ericport,Palestinian Territory,2025-10-24,,
107,473,returned,250 Randall Plaza,Smithburgh,Saint Martin,2025-12-22,2025-12-24,2025-12-27
108,180,delivered,6907 Allen Inlet,Stevenburgh,Mongolia,2024-11-08,2024-11-09,2024-11-11
109,46,confirmed,913 Julie Square Suite 170,Ramirezfort,Ecuador,2025-07-03,,
110,383,delivered,469 Brown Island Suite 574,Bakershire,Aruba,2025-10-23,2025-10-24,2025-10-31
111,293,delivered,4651 Jacob Track Apt. 484,West Ricardo,San Marino,2025-11-22,2025-11-23,2025-11-25
112,93,delivered,90318 Jacob Hollow Suite 933,North Robert,Bangladesh,2025-11-16,2025-11-19,2025-11-22
113,23,confirmed,29172 Johnson Cape Apt. 480,Evanton,Nepal,2023-07-31,,
114,466,shipped,503 Joshua Park,Camachoport,Tonga,2025-05-04,2025-05-07,
115,196,delivered,033 Robertson Orchard,North Darryl,Tajikistan,2025-12-12,2025-12-13,2025-12-14
116,459,delivered,0541 Mcdonald Keys,Amyton,New Zealand,2023-03-21,2023-03-22,2023-03-26
117,191,delivered,48002 Caitlin Village,Coreyport,Antigua and Barbuda,2025-12-26,2025-12-28,2025-12-30
118,143,delivered,461 Schmitt Plains Suite 146,Williamshaven,Armenia,2024-12-03,2024-12-08,2024-12-13
119,485,delivered,38918 Taylor Square,Davisside,Guinea,2025-12-10,2025-12-15,2025-12-18
120,429,confirmed,42660 Brown Row Apt. 119,Guerreroton,Gambia,2025-07-10,,
121,490,cancelled,01640 Latoya Rapids,East Marychester,Solomon Islands,2025-04-21,,
122,158,delivered,985 Washington Road Suite 333,New Victor,Slovakia (Slovak Republic),2022-11-03,2022-11-06,2022-11-09
123,230,cancelled,26608 Lyons Key Apt. 279,Lake Steven,San Marino,2025-11-11,,
124,59,delivered,140 Lopez Plaza Suite 594,Griffintown,Lesotho,2025-07-27,2025-07-31,2025-08-06
125,427,returned,200 Robert Highway,Hamiltonville,Guinea-Bissau,2025-02-17,2025-02-20,2025-02-25
126,448,pending,488 Dorsey Turnpike Suite 437,Lake Jeffery,Puerto Rico,2025-04-30,,
127,328,cancelled,08562 Holland Camp Apt. 947,Rojasshire,Palau,2024-11-05,,
128,98,shipped,8363 Keith Grove Suite 394,Porterhaven,Djibouti,2025-06-10,2025-06-15,
129,44,shipped,46790 Wilson Summit,Warnerbury,Guinea,2025-12-30,2026-01-03,
130,388,confirmed,2193 Greene Glen,Lake Joel,Micronesia,2024-05-28,,
131,75,cancelled,997 Rush Locks,West John,Tunisia,2024-08-03,,
132,215,shipped,716 Moore Village,Gillhaven,Papua New Guinea,2025-12-07,2025-12-08,
133,296,pending,08620 Parsons Orchard Suite 008,North Kevin,Wallis and Futuna,2024-09-30,,
134,260,pending,31144 Perez Ranch Suite 733,Larsonborough,Thailand,2025-02-24,,
135,247,pending,25555 Mitchell Extensions Suite 076,Sotofort,Djibouti,2024-05-07,,
136,392,delivered,2571 William Trail,South Martin,Syrian Arab Republic,2023-01-26,2023-01-30,2023-02-03
137,258,returned,6421 Weaver Courts,Hendersonmouth,Kyrgyz Republic,2025-05-31,2025-06-04,2025-06-09
138,484,shipped,3473 Olson Trafficway,East Benjamin,Guernsey,2024-05-08,2024-05-11,
139,205,returned,210 Brown Passage Apt. 942,Traviston,Senegal,2024-09-09,2024-09-10,2024-09-12
140,80,cancelled,5077 Morales Port,West Kathrynfort,Faroe Islands,2024-09-09,,
141,351,delivered,824 Perry Port,Lake Iantown,Pakistan,2025-06-29,2025-06-30,2025-07-03
142,228,returned,1892 Stewart Walk,Jenkinsside,Korea,2025-08-31,2025-09-01,2025-09-05
143,76,returned,43838 Medina Squares Apt. 035,Jeffreyfurt,Pakistan,2025-12-30,2026-01-02,2026-01-04
144,83,pending,320 Michael Stravenue Apt. 174,Troyland,Syrian Arab Republic,2025-09-16,,
145,205,cancelled,29909 Ryan Point Suite 899,Newtonborough,Brunei Darussalam,2024-08-18,,
146,428,confirmed,565 Jessica Ports Suite 644,West Alexis,Jersey,2025-03-30,,
147,184,delivered,43424 Burch Haven Suite 671,West Michelleport,Jordan,2024-06-15,2024-06-18,2024-06-19
148,129,delivered,6099 Patrick Estate,North Heatherside,Greenland,2025-12-20,2025-12-23,2025-12-25
149,82,pending,10557 Greg Spur,New Jasminehaven,Cook Islands,2023-11-14,,
150,411,delivered,32583 Blake Bridge Suite 290,Murrayport,Estonia,2025-10-29,2025-11-02,2025-11-05
151,470,delivered,9113 Case Gateway,Lake John,South Africa,2025-03-14,2025-03-16,2025-03-21
152,89,pending,135 Mark Ports Suite 616,New Michael,Philippines,2025-11-07,,
153,174,pending,2038 Joshua Trafficway,Harrisfort,British Virgin Islands,2024-03-11,,
154,3,delivered,87079 Michael Street Suite 682,Lake Raymond,India,2025-12-15,2025-12-16,2025-12-20
155,17,delivered,4942 Hill Radial,East Sharon,Turks and Caicos Islands,2025-10-24,2025-10-28,2025-11-04
156,74,confirmed,08931 Jones Islands Apt. 861,North Martin,Morocco,2024-06-18,,
157,231,delivered,648 Cox Parks Apt. 537,Kevinland,Bouvet Island (Bouvetoya),2025-02-03,2025-02-05,2025-02-08
158,496,delivered,8982 Randy Wall,West Brandon,Venezuela,2023-08-12,2023-08-16,2023-08-17
159,235,delivered,2872 Graves Knoll,Lake Rebecca,Marshall Islands,2025-03-23,2025-03-28,2025-04-03
160,472,delivered,355 Dawn Knolls,Maxwellburgh,Tajikistan,2025-09-04,2025-09-05,2025-09-12
161,128,delivered,2590 Gregory Gardens,Ramirezmouth,British Virgin Islands,2025-05-13,2025-05-18,2025-05-24
162,348,delivered,77515 Michael Summit,Christopherhaven,Peru,2025-10-22,2025-10-23,2025-10-29
163,271,delivered,1800 Frank Plaza,Port Heidi,Pitcairn Islands,2025-12-11,2025-12-14,2025-12-15
164,54,delivered,981 Katelyn Route Suite 135,North Thomas,Bahamas,2022-08-02,2022-08-05,2022-08-11
165,375,delivered,06843 Margaret Walks,South Taylor,Myanmar,2025-07-13,2025-07-18,2025-07-25
166,208,delivered,2987 Baker Shoals,Munozfort,Senegal,2025-11-24,2025-11-26,2025-11-30
167,186,returned,7626 Rachel Drive Suite 598,East Julia,Bahamas,2025-04-12,2025-04-13,2025-04-16
168,12,cancelled,5986 Dudley Turnpike,Lake Charlesberg,Mali,2023-12-15,,
169,415,delivered,919 Juan Wells Suite 892,Cabrerastad,Guinea-Bissau,2024-10-17,2024-10-19,2024-10-22
170,75,confirmed,9614 Paul Street Apt. 830,North Connor,Niger,2025-12-30,,
171,357,delivered,73638 Chavez Drive,Lauraside,Montenegro,2024-06-22,2024-06-23,2024-06-28
172,193,shipped,60858 Dorothy Spurs Suite 822,Richardsonberg,Tunisia,2024-10-04,2024-10-08,
173,255,returned,54994 Douglas Keys Suite 245,Adamborough,Central African Republic,2024-05-06,2024-05-11,2024-05-13
174,109,delivered,7067 William Track,New Natasha,Iran,2025-04-24,2025-04-26,2025-05-01
175,41,delivered,294 Buck Drives Suite 321,Coreyfurt,Gabon,2025-02-22,2025-02-25,2025-03-01
176,36,confirmed,14903 Chelsea Loaf,Ashleyhaven,French Guiana,2023-08-04,,
177,321,delivered,0567 Holloway Passage Suite 347,Fullerport,Chile,2024-03-26,2024-03-31,2024-04-02
178,60,delivered,40550 Chapman Summit Suite 178,Gilbertmouth,Kuwait,2023-06-07,2023-06-12,2023-06-16
179,99,shipped,3789 Schwartz Court Suite 227,Lindatown,Benin,2025-10-13,2025-10-16,
180,333,delivered,35926 John Field,Perezton,Peru,2025-08-14,2025-08-19,2025-08-26
181,262,confirmed,828 Nicholas Plaza Apt. 969,North Matthew,Saint Vincent and the Grenadines,2025-06-17,,
182,375,delivered,72709 Eric Cape,Hernandezhaven,Slovakia (Slovak Republic),2025-05-15,2025-05-16,2025-05-21
183,265,delivered,5116 Tammy Mountain,Taylorland,Solomon Islands,2025-12-22,2025-12-24,2025-12-28
184,18,confirmed,2530 Ochoa Mills,Ashleymouth,Nicaragua,2024-08-09,,
185,254,delivered,7608 Sharp Walk Apt. 066,Lake Dana,Barbados,2025-09-13,2025-09-17,2025-09-21
186,427,pending,166 Randall Street Suite 234,Jeffreyfort,Lao People's Democratic Republic,2023-07-08,,
187,207,pending,447 Vanessa Knoll Apt. 039,New Janice,Nigeria,2025-06-27,,
188,153,returned,209 Stephenson Circle Suite 483,Kirkside,Djibouti,2023-10-10,2023-10-14,2023-10-20
189,374,cancelled,08870 Miller Inlet,Vasquezchester,Mexico,2025-12-20,,
190,89,delivered,75156 Jason Lodge,Lewisshire,Papua New Guinea,2024-12-26,2024-12-28,2024-12-30
191,75,delivered,24826 Lance Island,Port Steven,United States Minor Outlying Islands,2025-03-20,2025-03-24,2025-03-26
192,235,pending,8279 Emma Trace Apt. 028,North Jennifer,Norfolk Island,2025-12-25,,
193,74,pending,11006 Ortiz Cape Apt. 379,Kylebury,Zambia,2024-07-29,,
194,84,delivered,13587 Joyce Centers,Brownfort,New Zealand,2024-12-30,2024-12-31,2025-01-01
195,249,delivered,93146 Meza Road,Zacharyshire,Anguilla,2025-10-15,2025-10-17,2025-10-20
196,452,pending,6534 Patrick Lodge,Fritzchester,Bhutan,2025-03-04,,
197,355,delivered,2379 Maria Harbors Suite 801,East Kevin,Netherlands,2023-05-22,2023-05-23,2023-05-27
198,24,delivered,308 Amanda Grove Apt. 077,Caseyfurt,Saint Kitts and Nevis,2025-07-14,2025-07-16,2025-07-22
199,191,shipped,14110 Meyer Village Apt. 928,Mariashire,Venezuela,2025-04-07,2025-04-12,
200,158,delivered,581 Montoya Burgs Apt. 211,New Kimberly,Turks and Caicos Islands,2025-08-15,2025-08-20,2025-08-24
201,349,confirmed,710 Melinda Burg,Griffinview,Slovakia (Slovak Republic),2024-03-07,,
202,315,delivered,426 Miller Land Suite 441,Lopezchester,Kazakhstan,2025-01-23,2025-01-25,2025-01-29
203,337,shipped,29123 Joshua Branch,Mitchellshire,Sudan,2024-07-10,2024-07-14,
204,259,delivered,072 Regina Stream Apt. 309,North Meganville,Bulgaria,2025-11-15,2025-11-18,2025-11-19
205,290,delivered,62213 Stone View Apt. 023,Louisfurt,Yemen,2024-12-21,2024-12-25,2024-12-26
206,183,delivered,05465 Anthony Drive Suite 996,North Jessicaside,Bermuda,2025-12-22,2025-12-26,2025-12-27
207,401,delivered,18821 Angela Camp Apt. 706,Juanhaven,Gibraltar,2025-05-10,2025-05-14,2025-05-15
208,116,delivered,03234 Dominique Corners,East Patrick,Serbia,2025-12-13,2025-12-17,2025-12-20
209,266,delivered,8412 Jodi Course Apt. 642,West Scottberg,Mexico,2025-12-20,2025-12-25,2025-12-30
210,53,delivered,744 Felicia Locks,Reyesborough,Timor-Leste,2025-07-24,2025-07-27,2025-08-02
211,47,delivered,765 Blackburn Alley Suite 236,Ryanville,Bermuda,2025-06-17,2025-06-19,2025-06-23
212,399,delivered,3119 Ryan Plain Apt. 442,East Markfurt,North Macedonia,2022-09-09,2022-09-10,2022-09-16
213,373,delivered,350 Mckinney Shoal,Huertachester,China,2023-08-23,2023-08-27,2023-08-30
214,20,delivered,48601 Kathryn Roads,Allenberg,Timor-Leste,2025-12-25,2025-12-29,2026-01-02
215,242,delivered,189 Dylan Circle,South Deannahaven,Hong Kong,2023-10-11,2023-10-13,2023-10-17
216,92,delivered,02654 Kathy Prairie,Leview,Grenada,2025-07-27,2025-07-30,2025-08-04
217,281,delivered,1319 Burns Spurs,Parkchester,North Macedonia,2025-11-05,2025-11-10,2025-11-15
218,67,confirmed,2052 Vega Point Apt. 299,Dawsonland,Uruguay,2023-09-11,,
219,473,delivered,249 Clayton Valleys Apt. 627,East Kristina,Madagascar,2025-05-29,2025-05-30,2025-06-01
220,382,delivered,66358 Ryan Trafficway,Butlertown,Guinea,2024-03-28,2024-03-30,2024-04-05
221,349,delivered,4609 White Brooks,North Nicholasport,Canada,2023-11-24,2023-11-28,2023-12-01
222,210,delivered,3953 Cheryl Loop Apt. 812,Markport,Christmas Island,2025-01-04,2025-01-09,2025-01-11
223,218,pending,0590 James Square,Andrewchester,Belarus,2025-02-15,,
224,19,delivered,449 Adam Spring Suite 004,East Jennifer,Uzbekistan,2025-01-31,2025-02-03,2025-02-08
225,475,cancelled,40717 Mcknight Valley,Roweberg,Guatemala,2024-08-28,,
226,97,delivered,772 Farmer Stravenue,New Rebecca,Nepal,2025-12-30,2025-12-31,2026-01-06
227,461,pending,6184 Betty Drive Apt. 733,Kennethmouth,Chad,2023-11-16,,
228,480,delivered,248 Duncan Landing,Samanthaport,Venezuela,2025-05-14,2025-05-15,2025-05-17
229,496,delivered,5970 Greg Spur,South Meganborough,North Macedonia,2025-12-30,2026-01-01,2026-01-07
230,291,delivered,81609 Owen Junctions Suite 050,Smithport,Russian Federation,2024-06-15,2024-06-17,2024-06-20
231,47,shipped,66595 Nelson Meadow,Rodrigueztown,Oman,2025-07-16,2025-07-21,
232,259,confirmed,3567 Mcintyre Island,North Patrick,Serbia,2025-11-28,,
233,303,delivered,553 Smith Corner Suite 692,Portermouth,Malta,2024-01-26,2024-01-31,2024-02-05
234,5,delivered,2482 Robert Divide,North Stephen,Armenia,2025-12-02,2025-12-05,2025-12-12
235,180,pending,5699 Richardson Fords,Colehaven,Algeria,2023-11-08,,
236,12,pending,36522 Kimberly Spur,Wilsonmouth,Italy,2025-01-07,,
237,119,delivered,89521 Angela Ports,East Robert,El Salvador,2025-11-11,2025-11-13,2025-11-14
238,366,confirmed,921 Martin Estates Apt. 164,Clarktown,San Marino,2023-11-01,,
239,118,pending,17011 Anderson Mount Suite 494,Christinaside,France,2025-11-30,,
240,320,shipped,33281 Kelly Branch,North Jennifermouth,Bahamas,2025-09-01,2025-09-02,
241,209,delivered,89966 Bradford Square,New Danafurt,Cote d'Ivoire,2023-10-14,2023-10-17,2023-10-24
242,352,cancelled,5760 Edwin Points,Chentown,South Africa,2024-03-26,,
243,63,delivered,3638 Brittany Mews Apt. 814,Davidtown,Germany,2025-05-15,2025-05-19,2025-05-26
244,168,delivered,0723 Adrian Spur,New Jamesville,British Virgin Islands,2024-12-18,2024-12-23,2024-12-24
245,75,confirmed,723 Dennis Canyon,New Jessica,Djibouti,2025-08-22,,
246,88,shipped,668 Alice Keys Apt. 380,Lake Michelle,Vietnam,2025-11-13,2025-11-15,
247,323,pending,425 Thomas Manors Apt. 688,Sheilachester,Saint Barthelemy,2023-06-27,,
248,11,confirmed,850 Patrick Plains,Haroldside,Zimbabwe,2025-08-01,,
249,223,delivered,949 Murphy Manors,Gregoryberg,Saint Pierre and Miquelon,2024-12-27,2024-12-30,2025-01-02
250,419,returned,786 Gonzalez Burg Apt. 236,Freemanfurt,Estonia,2023-03-19,2023-03-22,2023-03-25
251,168,delivered,76517 Cruz Drives,Port Benjamin,Lesotho,2025-11-08,2025-11-10,2025-11-17
252,283,delivered,8910 Michael Dale Suite 630,North Michelleland,Lesotho,2025-05-27,2025-06-01,2025-06-06
253,362,delivered,54234 Betty Fields,South Kyle,Ecuador,2025-07-29,2025-08-03,2025-08-10
254,5,delivered,4354 Katelyn Vista Apt. 114,Simpsonborough,Nicaragua,2024-05-18,2024-05-20,2024-05-23
255,325,delivered,266 Williams Forge,East Anthonyberg,Gabon,2025-10-12,2025-10-16,2025-10-20
256,220,shipped,865 Don Loop Apt. 113,East Christine,Belarus,2024-06-07,2024-06-12,
257,456,delivered,974 Jensen Mountains Apt. 503,Port Maryside,Malta,2025-03-26,2025-03-29,2025-04-01
258,243,pending,7487 Carlos Ridges,Moorefort,Chad,2025-10-26,,
259,325,delivered,3161 Kelli Mission Suite 711,East Tracyton,Denmark,2025-10-31,2025-11-03,2025-11-10
260,118,delivered,797 Kimberly Drive,Lake Felicia,Tuvalu,2025-09-09,2025-09-13,2025-09-15
261,414,delivered,9857 Rebecca Drive,Port Malikshire,Denmark,2025-03-07,2025-03-11,2025-03-15
262,1,delivered,5326 Brown Haven,Hodgeburgh,Wallis and Futuna,2025-04-30,2025-05-03,2025-05-10
263,476,shipped,5452 Phillips Neck Suite 781,New Nicholestad,Iceland,2025-11-21,2025-11-23,
264,371,delivered,95722 Scott Lodge Suite 913,Harrisville,Netherlands Antilles,2022-10-26,2022-10-29,2022-11-01
265,181,shipped,1716 John Bridge,Anthonybury,Eritrea,2025-10-09,2025-10-13,
266,113,delivered,35430 Bishop Fords Suite 585,West Garyton,Korea,2024-11-10,2024-11-12,2024-11-18
267,317,delivered,3167 Anderson Stravenue Suite 310,Lake Mackenzie,British Virgin Islands,2025-06-13,2025-06-16,2025-06-19
268,360,cancelled,5792 Keith Ramp,Lake Victoriaport,Poland,2025-11-07,,
269,201,delivered,108 Aaron Rue,Mccannbury,Hong Kong,2025-12-27,2026-01-01,2026-01-02
